ID,Nume_Cantec,Artist,NumarAparitii,Avalable,Plays
6fhgO6p9DsTyHqPctyzDkV,Sleeping on the Blacktop,Colter Wall,1,1,73
4WCe8syCgpfxGb3KFCvBWk,Axe,The Steel Woods,1,1,46
5Os2lSlPvvc40Wmun45Tz8,Straw in the Wind,The Steel Woods,1,1,44
79JAw296lCbgzq8dm4h4tD,All of These Years,The Steel Woods,1,1,39
4U7VPsgV5C3cz28kdWAT8u,I Need You (feat. Ashley Monroe),"The Steel Woods, Ashley Monroe",1,1,36
03EsYwfN3RbDhU1kVrfffA,On The Run,The Jompson Brothers,1,1,47
2RESEfP5xCZFWl4BSIHpQC,Barely Alive,The Jompson Brothers,1,1,42
5xGZzwnokgTgU7hWnCwWtB,Blood In The Water,The Jompson Brothers,1,1,38
5DXkH66yHd6nTMlby8AwHD,Another Bad Apple,Ward Davis,1,1,41
6LoM9k42hBelhv1kovisRf,Bad News,Whitey Morgan and the 78's,1,1,53
6UiMLrjIbEujx4DyX7u1Ut,Liquor Store,Uncle Lucius,1,1,48
1cbAxnTZKd6GJwV9bTdIvl,Mud,Whiskey Myers,1,1,41
72geHhNU5UA2hU1QgUzXdE,Bury My Bones,Whiskey Myers,1,1,63
4lXBIshfa0juWxi6odtLHt,Early Morning Shakes,Whiskey Myers,1,1,45
1pWteqawoaGuNc1UzScstI,"Bar, Guitar and a Honky Tonk Crowd",Whiskey Myers,1,1,56
5fyqWpeDtT2vqrT2sg4Ijw,Everyone's An Outlaw,Bryan Martin,1,1,67
04YKO5t4AZrsqKfGhhUb2j,Ride the Lightning - 717 Tapes,Warren Zeiders,1,1,68
79DO6dBi8936P6EShLB209,Lightning Bolt,Jake Bugg,1,1,60
5bu8p495FPdRySYSptdny2,Goin For Broke,Bryan Martin,1,1,57
7yyRhjoCsdt5dDpFz2CImD,Wolves Cry,Bryan Martin,1,1,67
6cB0sVqlATraubALqGJ0l1,Foolin' Ourselves,Evan Honer,1,1,65
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,1,1,86
1QvDl9tBq6PsMVE7Bf2ZOV,smoke & a light,Ole 60,1,1,72
6XKm1z5lYIq486iWMLnSFY,Nobody's Better (feat. Fetty Wap),"Suzi, Fetty Wap",1,1,62
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,Fetty Wap,1,1,72
0fgZUSa7D7aVvv3GfO0A1n,Post to Be (feat. Chris Brown & Jhene Aiko),"Omarion, Chris Brown, Jhené Aiko",1,1,69
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),"Chris Brown, Lil Wayne, Tyga",1,1,74
0Dc7J9VPV4eOInoxUiZrsL,Don't Tell 'Em,"Jeremih, YG",1,1,72
5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),"Kid Ink, Fetty Wap",1,1,58
4q6dqyGM25sKFU8nYAGRe4,Show Me (feat. Chris Brown),"Kid Ink, Chris Brown",1,1,67
0hy1SOTEn9ifXTzOwnCwEr,All Eyes on You (feat. Chris Brown & Nicki Minaj),"Meek Mill, Chris Brown, Nicki Minaj",1,1,66
2asIUjALYhUbH8hvLUhDWo,Main Chick (feat. Chris Brown),"Kid Ink, Chris Brown",1,1,61
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),"Tinashe, ScHoolboy Q",1,1,78
0SqUFLaRXwufRUsJ0t4dXB,No Mediocre (feat. Iggy Azalea),"T.I., Iggy Azalea",1,1,51
39z2CyYexbcwgD0pEeUUeu,Tapout,"Rich Gang, Lil Wayne, Birdman, Mack Maine, Nicki Minaj, Future",1,1,55
1z15fhSgN6U2k4gqA1Zu4j,Something New,"Zendaya, Chris Brown",1,1,57
7ioiB40H9xKs04QtIso2I3,Somebody,"Natalie La Rose, Jeremih",1,1,62
7DTlsMOQjGysXHpwwpHuPl,Lifestyle,"Rich Gang, Young Thug, Rich Homie Quan",1,1,68
3fBbfrWZUuWWrMQXFISr7N,New Flame (feat. Usher & Rick Ross),"Chris Brown, USHER, Rick Ross",1,1,69
75u9uswC5UMdtv4SQ3xSYf,The Night Is Still Young,Nicki Minaj,1,1,66
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,"Justin Bieber, Nicki Minaj",1,1,74
5ScbulRnixQ2XAdvrPMFjz,Get Along Better,"Drake, Ty Dolla $ign",1,1,67
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,2,1,80
0k6DnZMLoEUH8NGD5zh2SE,Ayo,"Chris Brown, Tyga",1,1,70
6ezg5Mm5UEEi3Oqsbb7Cjn,"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)","DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future, Rick Ross",1,1,60
3UrNOHCzVxX2KZbNcKQAyu,High School,"Nicki Minaj, Lil Wayne",1,1,61
124NFj84ppZ5pAxTuVQYCQ,Take Care,"Drake, Rihanna",1,1,73
20FZrLl9zSbO9b3DhaqO6M,23,"Mike WiLL Made-It, Miley Cyrus, Wiz Khalifa, Juicy J",1,1,67
4Wjhj0WjkyECccfHVIgaTq,Trust Issues,Drake,1,1,76
1YLfaRr3QIW1fF3nvDO0gX,Whatchamacallit (feat. Chris Brown),"Ella Mai, Chris Brown",1,1,59
6CTWathupIiDs7U4InHnDA,Trip,Ella Mai,1,1,71
21DN44aYlSoyfOQcboC0IP,Throw It Away,Summer Walker,1,1,56
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,1,1,83
5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),"Cardi B, Kehlani",1,1,62
1ia019RqDK2o4QiANR1Dyn,Moment 4 Life,"Nicki Minaj, Drake",1,1,68
6rje9f1wRFJDO2iTORw0lH,I Know,"Big Sean, Jhené Aiko",1,1,72
5jnxxpX2834SB6LJ0S73Uz,Lollipop,"Lil Wayne, Static Major",1,1,68
7JWmo14H5J8aUZ5b18kbev,All The Time (feat. Lil Wayne & Natasha Mosley),"Jeremih, Lil Wayne, Natasha Mosley",1,1,63
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,"Chris Brown, Young Thug",1,1,71
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),"Kehlani, Ty Dolla $ign",1,1,72
5rrdApB4CMDECxnnAt7xw0,Animal,"Chris Brown, Young Thug",1,1,40
0At2qAoaVjIwWNAqrscXli,Boo'd Up,Ella Mai,1,1,66
7JYsArznYOjX2jsrT3UEnL,OOOUUU,Young M.A,1,1,65
2Fyjjpg03fn7n5cj0Qm380,Karma,Summer Walker,1,1,70
2bgW1SJqUjIkWcbxTPTIdy,Right By My Side,"Nicki Minaj, Chris Brown",1,1,53
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,1,1,84
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",1,1,73
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,1,1,71
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",1,1,73
03It1uO69CjGWP3yyVe465,Chun Swae (feat. Swae Lee),"Nicki Minaj, Swae Lee",1,1,54
01jIO8SJFnpSiNLH1JaBZ5,You,Jacquees,1,1,64
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,1,1,79
26XUAwGZqQEyy8Ubhtj4kq,Feelin' Myself,"will.i.am, Miley Cyrus, French Montana, Wiz Khalifa, Mustard",1,1,57
3HbMXSKuTdKWChpvMIKhg5,Fly Sh!t,Coi Leray,1,1,36
3YEbLhXRDPTtctnb3ddg8g,Big Ole Freak,Megan Thee Stallion,1,1,57
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",1,1,71
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",1,1,79
5bgwqaRSS3M8WHWruHgSL5,8TEEN,Khalid,2,1,70
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",1,1,74
7py16W5fWYLFFS6BElKAjn,Tears (feat. Louisa Johnson),"Clean Bandit, Louisa Johnson",1,1,52
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,1,1,75
3Ueq2zboxwAbsvHrOjdEqz,MIA (feat. Drake),"Bad Bunny, Drake",1,1,61
10aCY2jJFNYGf9qpiN2LZy,To Last,Tyla,1,1,41
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,1,1,83
58oryymPZNdtS2z8Une6NJ,Undecided,Chris Brown,1,1,57
1KhljCoJ2TgDEldnnfTHHc,Party (feat. Usher & Gucci Mane),"Chris Brown, USHER, Gucci Mane",1,1,64
6wN4nT2qy3MQc098yL3Eu9,Deuces (feat. Tyga & Kevin McCall),"Chris Brown, Tyga, Kevin McCall",1,1,68
5w1vhNA2OEWUQ371QzyMmM,Down In the DM (feat. Nicki Minaj) - Remix,"Yo Gotti, Nicki Minaj",1,1,55
1B6TmCvKjC4dopBohVW51x,B.E.D.,Jacquees,1,1,72
7k802XMtsF57i4WS2M2MGg,Grass Ain't Greener,Chris Brown,1,1,61
2xyx0o4xNOLLjBSbOOdcbA,Playing Games (with Bryson Tiller) - Extended Version,"Summer Walker, Bryson Tiller",1,1,74
3gruCKVuhCsRjs3a3dG8CA,GREECE (feat. Drake),"DJ Khaled, Drake",1,1,62
59NC8SuXPiSaiYL69XQ4dt,Let Me Love You,"Ariana Grande, Lil Wayne",1,1,69
2YzmfPLqUx5CJOaw5ThsBV,Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg, Nicki Minaj",1,1,66
4hXDobvUaXyDFLnmecoY0z,Dip (feat. Nicki Minaj),"Tyga, Nicki Minaj",1,1,52
7F51q96XofOD2lntm7hzvQ,Body Language (feat. Usher & Tinashe),"Kid Ink, USHER, Tinashe",1,1,52
41bmnQZoDMQdDh5zyomtW7,Endless Fashion (feat. Nicki Minaj),"Lil Uzi Vert, Nicki Minaj",1,1,59
2qsQ8eVDPmobZpvDxQCVQu,Barbie Tingz,Nicki Minaj,1,1,57
41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",1,1,72
1kcEx8qhKKHjHkM4bj5s8F,Boo'd Up (with Nicki Minaj & Quavo) - Remix,"Ella Mai, Nicki Minaj, Quavo",1,1,41
4yOn1TEcfsKHUJCL2h1r8I,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",1,1,48
7ldKWEe85bATYYx0e5bzoZ,Oubaas,"Temple Boys Cpt, Sleeks",1,1,15
3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),"David Guetta, Justin Bieber",1,1,62
6Vdyu21iT8qScU1haSjWUU,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)","Quality Control, Layton Greene, Lil Baby, City Girls, PnB Rock",1,1,63
5LIleJbUUgtvYnBW9wfY1W,Na Na,Trey Songz,1,1,61
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",1,1,80
7ewfvLrlI0VNht4vEnoTMh,No Love,"August Alsina, Nicki Minaj",1,1,59
0g5EKLgdKvNlln7TNqBByK,Middle,"DJ Snake, Bipolar Sunshine",1,1,73
5nexAvWNhwg51EavnDgViy,Toxic,Kehlani,1,1,66
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),"Travis Scott, SZA, Future",1,1,78
0tBbt8CrmxbjRP0pueQkyU,Wolves,"Selena Gomez, Marshmello",1,1,74
4PEGwWH4tL6H7dGl4uVSPg,Like a Tattoo,Sade,1,1,74
3hlksXnvbKogFdPbpO9vel,Super Bass,Nicki Minaj,1,1,76
3NZJlJemX3mzjf56MqC5ML,Forever,Chris Brown,1,1,76
6GNifiuBPrKFpwNBYnooFm,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,"Lil Uzi Vert, Nicki Minaj, Oh Wonder",1,1,62
4zrwPfq5ENLzjq41Txs2HR,Want Her,"Mustard, Quavo, YG",1,1,59
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,"Pia Mia, Chris Brown, Tyga",1,1,69
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,"Sevyn Streeter, Chris Brown",1,1,66
5r67bGhYXZNqk2m2Wupfmu,Pour It Up,Rihanna,1,1,67
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,David Bowie,1,1,75
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,David Bowie,2,1,67
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,David Bowie,2,1,69
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,David Bowie,1,1,66
7aE5WXu5sFeNRh3Z05wwu4,Wish You Were Here - 2011 Remaster,Pink Floyd,1,1,61
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,1,1,69
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,Lou Reed,2,1,73
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,1,1,71
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,2,1,82
7rPzEczIS574IgPaiPieS3,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,1,1,69
32dnKMni3I3gwUbWp4mi45,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",Pink Floyd,1,1,61
2YMN5C5XDSsqCHSoJIbOzj,"Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remaster",Pink Floyd,1,1,51
4xHWH1jwV5j4mBYRhxPbwZ,Time - 2011 Remastered Version,Pink Floyd,1,1,61
25tZHMv3ctlzqDaHAeuU9c,The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd,1,1,63
7Gx2q0ueNwvDp2BOZYGCMO,Money - 2011 Remastered Version,Pink Floyd,1,1,61
7Fg4jpwpkdkGCvq1rrXnvx,Comfortably Numb - 2011 Remastered Version,Pink Floyd,1,1,65
626wlz3bovvpH06PYht5R0,Us And Them - 2011 Remastered Version,Pink Floyd,1,1,56
72boGlgSwUK01n44O2tOCv,Lost in the Supermarket - Remastered,The Clash,1,1,57
1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,The Smiths,1,1,76
7EUEl5wJb8VI777UAUvRnH,Brain Damage - 2011 Remastered Version,Pink Floyd,1,1,56
6YlOxoHWLjH6uVQvxUIUug,Rockin' All Over The World,Status Quo,1,1,58
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,2,1,78
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,1,1,81
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1,1,79
1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean,1,1,73
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,1,1,79
0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,1,1,68
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin,1,1,76
5EWPGh7jbTNO2wakv8LjUI,Free Bird,Lynyrd Skynyrd,1,1,74
3Xls4cNOwy01dtrNXb1inG,White Room,Cream,2,1,66
4mn2kNTqiGLwaUR8JdhJ1l,House of the Rising Sun,The Animals,1,1,73
0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,1,1,66
5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,Blue Öyster Cult,1,1,73
7rUkzuaCFJx2UwXTWEpcDe,That's Right,Cage The Elephant,1,1,41
7DUW5FRgH7c3RqhIGVDhSn,15 Years,Houndmouth,1,1,19
3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,1,1,77
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,1,1,79
54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America, George Martin",2,1,75
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,1,1,78
3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,1,1,74
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,1,1,76
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1,1,77
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,2,1,79
7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,1,1,76
1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,The Police,1,1,74
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,1,1,79
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,1,1,73
5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,The Clash,1,1,69
1QFh8OH1e78dGd3VyJZCAC,Boys Don't Cry,The Cure,1,1,77
34iOH7LY3vme5rQxsVILZ4,Love Will Tear Us Apart - 2020 Remaster,Joy Division,1,1,69
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,"Duke Ellington, John Coltrane",1,1,64
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Etta James,1,1,76
5GMQdzgtI7vtpmtps2YiYx,Beautiful Boy (Darling Boy) - 2010 Remastered,John Lennon,1,1,61
4cIPLtg1avt2Jm3ne9S1zy,Killer Queen - Remastered 2011,Queen,1,1,73
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,1,1,79
4KfSdst7rW39C0sfhArdrz,Barracuda,Heart,1,1,72
0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,Pat Benatar,1,1,69
2F1fnE1a8zQCogM6jJifHH,Jessie's Girl,Rick Springfield,1,1,66
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,1,1,25
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,1,1,83
3ZZq9396zv8pcn5GYVhxUi,Down Under,Men At Work,1,1,77
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,1,1,83
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,1,1,79
0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,Wham!,1,1,78
6W2VbtvMrDXm5vYeB7amkO,Footloose,Kenny Loggins,1,1,69
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,1,1,81
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,1,1,75
0VV8wkOM4w78A2OHZOTzNP,Live And Let Die - 2018 Remaster,Wings,1,1,61
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,Queen,1,1,80
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,1,1,83
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,Guns N' Roses,1,1,32
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,1,1,29
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,1,1,82
7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"Elton John, Kiki Dee",1,1,78
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,1,1,74
1QbOvACeYanja5pbnJbAmk,"Take Me Home, Country Roads",John Denver,1,1,72
3Cx4yrFaX8CeHwBMReOWXI,We Didn't Start the Fire,Billy Joel,1,1,73
6fw12s3vAJQAt7lbICodwC,"I Will Survive - Original 7"" Version",Gloria Gaynor,1,1,66
5kErKPSPv8EgdZ04R3el1K,It's Raining Men - Single Version,The Weather Girls,1,1,53
5ubvP9oKmxLUVq506fgLhk,Stayin Alive,Bee Gees,1,1,70
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire, The Emotions",1,1,76
3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1,1,78
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",1,1,82
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,1,1,78
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,1,1,75
3MrWxJaD2AT0W9DjWF64Vm,Come On Eileen,Dexys Midnight Runners,1,1,73
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,1,1,84
2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,Culture Club,1,1,73
2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,1,1,76
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,1,1,82
6OnfBiiSc9RGKiBKKtZXgQ,We Built This City,Starship,1,1,72
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,1,1,81
1xsYj84j7hUDDnTTerGWlH,Dream On,Aerosmith,1,1,80
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,1,1,74
4JfuiOWlWCkjP6OKurHjSn,Walk This Way,Aerosmith,1,1,72
1nQRg9q9uwALGzouOX5OyQ,Radio Ga Ga - Remastered 2011,Queen,1,1,71
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1,1,75
2G93DMHcH5wJ4Hb4lXaT0K,Gj!,BABYMETAL,1,1,40
0TGKBG5wK1ZGSACf6uso3H,One,Three Dog Night,1,1,41
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,1,1,72
4u9f8hqstB7iITDJNzKhQx,My Generation - Stereo Version,The Who,1,1,60
5FKkbyGm42hw1y08l2knlO,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1,1,50
3bWGaqVeYKMlLss40mPgNn,"Hello, I Love You",The Doors,1,1,58
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1,1,71
